"","sciname","BodyShapeI","DemersPelag","DepthRangeShallow","DepthRangeDeep","Vulnerability","Length","Importance","PriceCateg","PD50"
"40","Microchirus variegatus","fusiform / normal","demersal",20,400,32.28,35,"commercial","very high",0.5078
"41","Molva molva","elongated","demersal",100,1000,77.21,200,"highly commercial","low",0.625
"42","Pollachius pollachius","fusiform / normal","benthopelagic",40,200,59.11,130,"commercial","low",0.75
"43","Anguilla anguilla","eel-like","demersal",0,700,64.35,121.5,"commercial","unknown",0.5
"44","Agonus cataphractus","fusiform / normal","demersal",0,270,26.21,21,"of no interest","unknown",1
"45","Ammodytes marinus","elongated","benthopelagic",10,150,29.72,25,"commercial","low",0.5156
"46","Ammodytes tobianus","elongated","demersal",1,96,23.44,20,"highly commercial","low",0.5156
"47","Aphia minuta","elongated","pelagic-neritic",0,97,10,7.9,"commercial","very high",1
"48","Argyropelecus affinis","short and / or deep","bathypelagic",1,3872,21.33,8.4,"of no interest","unknown",0.5078
"49","Arnoglossus laterna","fusiform / normal","demersal",10,200,35.75,25,"of no interest",NA,0.5
"50","Arnoglossus imperialis","fusiform / normal","demersal",20,350,35.16,25,"commercial","very high",0.5
"51","Arnoglossus thori","fusiform / normal","demersal",15,300,25.01,18,"minor commercial","very high",0.5
"52","Chelidonichthys cuculus","fusiform / normal","demersal",15,400,46.18,70,"minor commercial","very high",0.501
"53","Atherina presbyter","elongated","pelagic-neritic",NA,NA,20.73,20,"subsistence fisheries","medium",0.5312
"54","Melanolagus bericoides","elongated","bathypelagic",100,1700,49.65,20,"of no interest","unknown",1
"55","Belone belone","elongated","pelagic-oceanic",0,NA,48.83,103.5,"commercial","high",0.625
"56","Parablennius gattorugine","fusiform / normal","demersal",3,32,20.52,30,"minor commercial","unknown",0.5
"57","Blennius ocellaris","elongated","demersal",10,400,30.38,20,"minor commercial","unknown",0.75
"58","Brosme brosme","elongated","demersal",18,1000,62.55,120,"highly commercial","low",1
"59","Buenia jeffreysii","fusiform / normal","demersal",5,330,13.37,6,"of no interest",NA,0.625
"60","Buglossidium luteum","fusiform / normal","demersal",5,450,24.35,16.4,"minor commercial","very high",1
"61","Capros aper","short and / or deep","demersal",40,700,50.6,30,"of no interest","unknown",1
"62","Centrolabrus exoletus","fusiform / normal","reef-associated",NA,NA,20,18,"of no interest",NA,0.75
"63","Cepola macrophthalma","elongated","demersal",15,400,49.94,80,"minor commercial","unknown",0.5312
"64","Chirolophis ascanii","elongated","benthopelagic",10,400,46.15,25,"of no interest","unknown",0.5039
"65","Coris julis","fusiform / normal","reef-associated",0,120,38.53,30,"minor commercial","very high",0.5
"66","Symphodus melops","fusiform / normal","reef-associated",NA,NA,33.97,28,"subsistence fisheries","very high",0.5005
"67","Crystallogobius linearis","elongated","demersal",1,400,13.92,4.7,"of no interest",NA,1
"68","Ctenolabrus rupestris","fusiform / normal","reef-associated",1,50,32.5,18,"subsistence fisheries","very high",1
"69","Cyclopterus lumpus","short and / or deep","benthopelagic",0,868,46.79,61,"commercial","low",1
"70","Dicentrarchus labrax","fusiform / normal","demersal",10,100,69.14,103,"commercial","very high",0.7656
"71","Diplecogaster bimaculata","elongated","demersal",NA,NA,35.29,6,"of no interest","unknown",0.5156
"72","Echiodon drummondii","eel-like","bathydemersal",52,403,20.65,30,"of no interest","unknown",0.5001
"73","Engraulis encrasicolus","elongated","pelagic-neritic",0,400,24.7,20,"highly commercial","medium",0.502
"74","Entelurus aequoreus","eel-like","demersal",5,100,34.25,40,"of no interest","unknown",1
"75","Eutrigla gurnardus","elongated","demersal",10,340,30.08,60,"commercial","high",1
"76","Gadus morhua","fusiform / normal","benthopelagic",0,600,65.4,200,"highly commercial","medium",0.625
"77","Caranx hippos","fusiform / normal","reef-associated",1,350,41.43,124,"commercial","medium",0.5
"78","Gobius niger","fusiform / normal","demersal",1,96,32.82,18,"of no interest",NA,0.5
"79","Gobius paganellus","fusiform / normal","demersal",0,15,19.37,13,"minor commercial","very high",0.5
"80","Gobiusculus flavescens","elongated","reef-associated",0,NA,14.35,6,"of no interest",NA,1
"81","Gymnammodytes semisquamatus","elongated","demersal",NA,NA,40.99,30,"commercial","unknown",0.625
"82","Helicolenus dactylopterus","fusiform / normal","bathydemersal",50,1100,53.84,50,"commercial","low",0.502
"83","Istiophorus platypterus","elongated","pelagic-oceanic",0,200,67.65,348,"commercial","very high",0.7505
"84","Istiophorus albicans","elongated","pelagic-oceanic",0,200,64.62,315,"commercial","high",0.7505
"85","Chanos chanos","elongated","benthopelagic",1,30,76.23,180,"highly commercial","unknown",1.5
"86","Aphareus furca","fusiform / normal","reef-associated",1,122,35.93,70,"commercial","very high",0.75
"87","Aphareus rutilans","fusiform / normal","reef-associated",100,330,58.21,110,"commercial","very high",0.75
"88","Aprion virescens","fusiform / normal","reef-associated",0,180,61.35,112,"highly commercial","very high",1
"89","Apsilus dentatus","fusiform / normal","reef-associated",100,300,28.05,65,"minor commercial","very high",0.75
"90","Apsilus fuscus","fusiform / normal","demersal",15,300,49.8,75,"minor commercial","very high",0.75
"91","Etelis carbunculus","fusiform / normal","benthopelagic",90,400,44.27,127,"highly commercial","very high",0.5625
"92","Lamna nasus","fusiform / normal","pelagic-oceanic",0,715,86.11,350,"commercial","medium",0.7813
"93","Acanthocybium solandri","elongated","pelagic-oceanic",0,20,46.16,250,"commercial","very high",1
"94","Cetorhinus maximus","elongated","pelagic-oceanic",0,2000,86.06,1520,"commercial","low",1.5
"95","Allothunnus fallai","fusiform / normal","pelagic-oceanic",0,20,51.46,105,"minor commercial","very high",1
"96","Acanthostracion quadricornis","short and / or deep","reef-associated",1,80,31.74,55,"minor commercial","high",0.5625
"97","Auxis rochei","fusiform / normal","pelagic-neritic",10,NA,26.68,50,"highly commercial","very high",0.5625
"98","Auxis thazard","fusiform / normal","pelagic-neritic",50,NA,27.83,65,"highly commercial","very high",0.5625
"99","Cybiosarda elegans","fusiform / normal","pelagic-neritic",50,NA,28.98,45,"minor commercial","very high",1
"100","Euthynnus affinis","fusiform / normal","pelagic-neritic",0,200,35.82,100,"highly commercial","medium",0.625
"101","Euthynnus alletteratus","fusiform / normal","reef-associated",1,150,56.97,122,"commercial","medium",0.625
"102","Euthynnus lineatus","fusiform / normal","pelagic-oceanic",0,40,43.94,84,"minor commercial","high",0.625
"103","Alepisaurus ferox","elongated","bathypelagic",0,1830,82.94,215,NA,"unknown",1
"104","Gasterochisma melampus","fusiform / normal","pelagic-oceanic",200,NA,65.28,164,"minor commercial","very high",1
"105","Conger esculentus","eel-like","reef-associated",120,400,76.02,160,"minor commercial","medium",0.5
"106","Grammatorcynus bicarinatus","fusiform / normal","reef-associated",15,50,54.35,112,"commercial","very high",0.75
"107","Grammatorcynus bilineatus","fusiform / normal","reef-associated",15,50,49.18,100,"minor commercial","very high",0.75
"108","Gymnosarda unicolor","fusiform / normal","reef-associated",10,250,72.67,247.98,"minor commercial","high",1
"109","Katsuwonus pelamis","fusiform / normal","pelagic-oceanic",0,260,40.19,110,"highly commercial","high",1
"110","Orcynopsis unicolor","fusiform / normal","pelagic-neritic",NA,NA,60.56,130,"minor commercial","medium",1
"111","Rastrelliger brachysoma","fusiform / normal","pelagic-neritic",15,200,17.6,34.5,"highly commercial","very high",0.625
"112","Rastrelliger faughni","fusiform / normal","pelagic-neritic",150,NA,11.13,20,"commercial","very high",0.625
"113","Rastrelliger kanagurta","fusiform / normal","pelagic-neritic",20,90,18.77,NA,"highly commercial","very high",0.625
"114","Sarda australis","fusiform / normal","pelagic-neritic",NA,NA,66.45,180,"minor commercial","very high",0.5312
"115","Sarda orientalis","fusiform / normal","pelagic-neritic",1,167,50.58,102,"minor commercial","high",0.5312
"116","Sarda sarda","fusiform / normal","pelagic-neritic",80,200,32.68,91.4,"highly commercial","high",0.5312
"117","Scomber australasicus","fusiform / normal","pelagic-neritic",87,200,42.82,44,"commercial","very high",0.5625
"118","Scomber japonicus","fusiform / normal","pelagic-neritic",0,300,30.73,64,"highly commercial","high",0.5625
"119","Scomber scombrus","fusiform / normal","pelagic-neritic",0,1000,44.09,60,"highly commercial","medium",0.5625
"120","Scomberomorus brasiliensis","fusiform / normal","reef-associated",NA,NA,66.61,125,"commercial","high",0.5
"121","Scomberomorus cavalla","fusiform / normal","reef-associated",5,140,57.83,184,"commercial","medium",0.5
"122","Scomberomorus commerson","fusiform / normal","pelagic-neritic",10,70,51.82,240,"highly commercial","very high",0.5
"123","Scomberomorus concolor","fusiform / normal","pelagic-neritic",15,NA,42.47,77,"commercial","very high",0.5
"124","Scomberomorus guttatus","fusiform / normal","pelagic-neritic",15,200,30.19,76,"highly commercial","very high",0.5
"125","Scomberomorus koreanus","fusiform / normal","pelagic-neritic",NA,NA,64.52,150,"minor commercial","very high",0.5
"126","Scomberomorus lineolatus","fusiform / normal","pelagic-neritic",NA,NA,48.51,94,"commercial","low",0.5
"127","Scomberomorus maculatus","fusiform / normal","pelagic-neritic",10,35,39.27,91,"highly commercial","medium",0.5
"128","Apogonichthyoides taeniatus","short and / or deep","reef-associated",5,20,18.05,17,NA,"high",0.5
"129","Scomberomorus munroi","fusiform / normal","pelagic-neritic",NA,100,35.76,104,"commercial","very high",0.5
"130","Argyropelecus aculeatus","short and / or deep","bathypelagic",100,2056,25.05,8.3,"of no interest","unknown",0.5078
"131","Scomberomorus niphonius","elongated","pelagic-neritic",0,200,33.65,100,"highly commercial","very high",0.5
"132","Scomberomorus plurilineatus","fusiform / normal","pelagic-neritic",50,200,38.9,120,"commercial","very high",0.5
"133","Scomberomorus queenslandicus","fusiform / normal","pelagic-neritic",1,100,33.15,100,"commercial","very high",0.5
"134","Scomberomorus regalis","fusiform / normal","reef-associated",1,20,62.58,183,"minor commercial","high",0.5
"135","Scomberomorus semifasciatus","fusiform / normal","pelagic-neritic",NA,100,38.76,120,"commercial","very high",0.5
"136","Scomberomorus sierra","fusiform / normal","pelagic-neritic",10,60,38.58,99,"commercial","medium",0.5
"137","Scomberomorus sinensis","fusiform / normal","pelagic-neritic",10,NA,70,247,"commercial","very high",0.5
"138","Somniosus microcephalus","elongated","benthopelagic",0,2200,89.57,730,"minor commercial","low",0.5313
"139","Squalus acanthias","elongated","benthopelagic",0,1460,67.94,160,"commercial","medium",0.5
"140","Rhinobatos percellens","elongated","demersal",0,110,55.56,100,"commercial","low",0.5039
"141","Scomberomorus tritor","fusiform / normal","pelagic-neritic",1,40,37.97,100,"commercial","high",0.5
"142","Thunnus alalunga","fusiform / normal","pelagic-oceanic",0,600,58.4,140,"highly commercial","high",0.5039
"143","Thunnus albacares","fusiform / normal","pelagic-oceanic",1,250,50.67,239,"highly commercial","high",0.5039
"144","Thunnus atlanticus","fusiform / normal","pelagic-oceanic",50,NA,60.96,107.95,"commercial","medium",0.5039
"145","Thunnus maccoyii","fusiform / normal","pelagic-oceanic",50,2743,66.9,245,"commercial","very high",0.5039
"146","Thunnus obesus","fusiform / normal","pelagic-oceanic",0,250,55.53,250,"highly commercial","very high",0.5039
"147","Thunnus thynnus","fusiform / normal","pelagic-oceanic",0,985,82.35,458,"commercial","very high",0.5039
"148","Thunnus tonggol","fusiform / normal","pelagic-neritic",10,NA,46.57,144.983,"highly commercial","very high",0.5039
"149","Rhinobatos planiceps","elongated","demersal",NA,NA,41.7,76.3,"minor commercial","high",0.5039
"150","Lutjanus guttatus","fusiform / normal","reef-associated",10,60,34.53,80,"commercial","high",0.5
"151","Lutjanus inermis","fusiform / normal","reef-associated",NA,40,29.01,34,"of potential interest","high",0.5
"152","Lutjanus jocu","fusiform / normal","reef-associated",2,40,66.26,128,"commercial","high",0.5
"153","Lutjanus jordani","fusiform / normal","reef-associated",0,50,38.55,60,"commercial","high",0.5
"154","Lutjanus kasmira","fusiform / normal","reef-associated",3,265,40.21,40,"commercial","high",0.5
"155","Lutjanus lemniscatus","fusiform / normal","reef-associated",2,80,40.18,65,"commercial","high",0.5
"156","Lutjanus lunulatus","fusiform / normal","reef-associated",10,30,31.88,40,"minor commercial","high",0.5
"157","Lutjanus lutjanus","fusiform / normal","bathydemersal",0,96,25.49,35,"highly commercial","high",0.5
"158","Lutjanus madras","fusiform / normal","reef-associated",5,90,26.59,30,"commercial","high",0.5
"159","Lutjanus mahogoni","fusiform / normal","reef-associated",0,100,64.99,48,"commercial","high",0.5
"160","Lutjanus malabaricus","fusiform / normal","reef-associated",12,100,50.14,100,"highly commercial","high",0.5
"161","Lutjanus monostigma","fusiform / normal","reef-associated",1,60,39.61,60,"commercial","high",0.5
"162","Callorhinchus capensis","elongated","demersal",10,374,59.51,122,"minor commercial","low",0.75
"163","Lutjanus notatus","fusiform / normal","reef-associated",10,50,20.85,25,"commercial","high",0.5
"164","Lutjanus novemfasciatus","fusiform / normal","reef-associated",0,60,76.05,170,"commercial","high",0.5
"165","Lutjanus peru","fusiform / normal","reef-associated",NA,40,40.35,95,"subsistence fisheries","high",0.5
"166","Lutjanus purpureus","fusiform / normal","demersal",26,340,59.8,100,"commercial","high",0.5
"167","Lutjanus quinquelineatus","fusiform / normal","reef-associated",2,40,34.2,38,"commercial","high",0.5
"168","Lutjanus rivulatus","fusiform / normal","reef-associated",50,100,42.02,80,"commercial","high",0.5
"169","Elops saurus","elongated","reef-associated",0,50,37.86,100,"minor commercial","low",0.5176
"170","Lutjanus russellii","fusiform / normal","reef-associated",3,80,35.55,50,"commercial","high",0.5
"171","Lutjanus sanguineus","fusiform / normal","reef-associated",9,100,46.62,100,"highly commercial","high",0.5
"172","Lutjanus sebae","short and / or deep","reef-associated",5,180,58.91,116,"commercial","high",0.5
"173","Lutjanus semicinctus","fusiform / normal","reef-associated",10,36,19.02,35,"minor commercial","high",0.5
"174","Lutjanus synagris","fusiform / normal","reef-associated",10,400,37.21,60,"commercial","medium",0.5
"175","Lutjanus timoriensis","fusiform / normal","reef-associated",20,150,38.08,50,"minor commercial","high",0.5
"176","Lutjanus viridis","fusiform / normal","reef-associated",3,30,26.59,30,"subsistence fisheries","high",0.5
"177","Lutjanus vitta","fusiform / normal","reef-associated",10,72,38.1,40,"commercial","high",0.5
"178","Lutjanus vivanus","fusiform / normal","reef-associated",90,242,67.69,83,"commercial","high",0.5
"179","Macolor macularis","fusiform / normal","reef-associated",3,90,38.55,60,"commercial","very high",0.75
"180","Macolor niger","fusiform / normal","reef-associated",2,90,45.54,75,"commercial","very high",0.75
"181","Ocyurus chrysurus","fusiform / normal","reef-associated",0,180,64.92,86.3,"commercial","medium",1
"182","Paracaesio kusakarii","fusiform / normal","demersal",100,310,45.68,60,"minor commercial","very high",0.5039
"183","Paracaesio sordida","fusiform / normal","reef-associated",5,200,35.05,48,"commercial","very high",0.5039
"184","Paracaesio xanthura","fusiform / normal","reef-associated",5,250,35.55,50,"commercial","very high",0.5039
"185","Pinjalo pinjalo","fusiform / normal","reef-associated",15,100,48.91,80,"minor commercial","very high",0.75
"186","Pristipomoides aquilonaris","fusiform / normal","demersal",24,370,40.02,56,"minor commercial","very high",0.5005
"187","Pristipomoides argyrogrammicus","fusiform / normal","reef-associated",70,350,28.28,40,"minor commercial","very high",0.5005
"188","Pristipomoides auricilla","fusiform / normal","benthopelagic",90,360,32.81,45,"commercial","very high",0.5005
"189","Pristipomoides filamentosus","fusiform / normal","benthopelagic",40,400,43.22,100,"highly commercial","very high",0.5005
"190","Pristipomoides flavipinnis","fusiform / normal","reef-associated",90,360,33.98,50,"highly commercial","very high",0.5005
"191","Boops boops","fusiform / normal","demersal",0,350,50.46,40,"highly commercial","high",0.75
"192","Sarpa salpa","fusiform / normal","benthopelagic",5,70,41.17,51,"commercial","medium",1
"193","Pristipomoides freemani","fusiform / normal","demersal",50,220,22.96,23.3,"minor commercial","very high",0.5005
"194","Pristipomoides macrophthalmus","fusiform / normal","benthopelagic",110,550,39.8,50,"minor commercial","very high",0.5005
"195","Bothus podas","short and / or deep","demersal",15,400,55.24,45,"commercial","very high",0.5
"196","Pristipomoides multidens","fusiform / normal","demersal",40,350,43.24,90,"commercial","very high",0.5005
"197","Pristipomoides sieboldii","fusiform / normal","benthopelagic",100,360,35.78,79,"commercial","very high",0.5005
"198","Pristipomoides typus","fusiform / normal","demersal",40,120,38.5,70,"minor commercial","very high",0.5005
"199","Pristipomoides zonatus","fusiform / normal","benthopelagic",70,300,41.59,50,"commercial","very high",0.5005
"200","Randallichthys filamentosus","fusiform / normal","benthopelagic",150,300,47.33,50,"minor commercial","very high",1
"201","Rhomboplites aurorubens","fusiform / normal","demersal",40,300,49.58,60,"minor commercial","very high",1
"202","Symphorichthys spilurus","fusiform / normal","reef-associated",5,60,38.55,60,"minor commercial","very high",1
"203","Symphorus nematophorus","fusiform / normal","reef-associated",20,100,48.65,100,"commercial","very high",1
"204","Makaira nigricans","elongated","pelagic-oceanic",0,200,51.7,500,"commercial","high",0.7505
"205","Istiompax indica","elongated","pelagic-oceanic",0,915,78.22,465,"commercial","very high",1.0005
"206","Makaira mazara","elongated","pelagic-oceanic",0,200,70.43,500,"commercial","high",0.7505
"207","Kajikia albida","elongated","pelagic-oceanic",0,150,41.31,300,"minor commercial","high",0.7505
"208","Tetrapturus pfluegeri","elongated","pelagic-oceanic",0,200,49.24,254,"minor commercial","low",0.563
"209","Tetrapturus georgii","elongated","pelagic-oceanic",0,200,44.96,184,NA,"high",0.563
"210","Kajikia audax","elongated","pelagic-oceanic",0,200,43.35,420,"commercial","very high",0.7505
"211","Callionymus filamentosus","elongated","demersal",2,350,25.85,20,"of no interest","unknown",0.5
"212","Xiphias gladius","elongated","pelagic-oceanic",0,800,71.96,455,"commercial","very high",1.5
"213","Megalops cyprinoides","fusiform / normal","benthopelagic",50,NA,66.98,150,"minor commercial","low",1.002
"214","Albula vulpes","fusiform / normal","reef-associated",0,84,42.66,104,"minor commercial","high",0.5007
"215","Pterothrissus belloci","elongated","bathydemersal",20,500,34.87,40,"minor commercial","unknown",1.0002
"216","Alepocephalus bairdii","elongated","bathydemersal",365,1700,69.75,100,"minor commercial","unknown",0.5
"217","Coregonus lavaretus","fusiform / normal","demersal",NA,NA,50.64,73,"commercial","high",0.5
"218","Salmo salar","fusiform / normal","benthopelagic",0,210,61.58,150,"highly commercial","very high",0.5
"219","Salmo trutta","fusiform / normal","pelagic-neritic",0,28,59.96,140,"commercial","very high",0.5
"220","Oncorhynchus mykiss","fusiform / normal","benthopelagic",0,200,36.29,122,"highly commercial","low",0.5
"221","Oncorhynchus gorbuscha","fusiform / normal","demersal",0,250,36.98,76,"highly commercial","low",0.5
"222","Oncorhynchus keta","fusiform / normal","benthopelagic",0,250,48.82,100,"highly commercial","medium",0.5
"223","Oncorhynchus masou masou","fusiform / normal","benthopelagic",0,200,55.32,79,"commercial","high",0.5
"224","Oncorhynchus nerka","fusiform / normal","pelagic-oceanic",0,250,31.84,84,"highly commercial","very high",0.5
"225","Oncorhynchus tshawytscha","fusiform / normal","benthopelagic",0,375,68.24,150,"highly commercial","very high",0.5
"226","Oncorhynchus kisutch","fusiform / normal","demersal",0,250,53.09,107.95,"highly commercial","medium",0.5
"227","Salvelinus fontinalis","fusiform / normal","benthopelagic",15,27,43.37,86,"minor commercial","very high",0.5
"228","Salvelinus alpinus alpinus","fusiform / normal","benthopelagic",0,70,74.33,107,"minor commercial","very high",0.5
"229","Centrolophus niger","fusiform / normal","bathypelagic",40,1050,84.78,150,"of potential interest","very high",1
"230","Schedophilus ovalis","short and / or deep","benthopelagic",70,700,60.23,100,"commercial","very high",0.5039
"231","Plecoglossus altivelis altivelis","elongated","demersal",10,NA,29.96,70,"highly commercial","unknown",1.5
"232","Mallotus villosus","elongated","pelagic-oceanic",0,725,27.37,20,"highly commercial","low",1
"233","Osmerus mordax","elongated","pelagic-oceanic",0,425,38.09,35.6,"commercial","low",0.5625
"234","Hypomesus pretiosus","elongated","benthopelagic",NA,NA,30.78,30.5,"commercial","low",0.5313
"235","Thaleichthys pacificus","elongated","pelagic-neritic",0,300,32.71,34,"commercial","very high",1
"236","Lampanyctodes hectoris","elongated","pelagic-oceanic",0,NA,14.59,7,"commercial","high",1
"237","Harpadon nehereus","elongated","benthopelagic",50,NA,18.14,40,"highly commercial","low",0.5312
"238","Lutjanus fulviflamma","fusiform / normal","reef-associated",3,35,34.26,35,"commercial","high",0.5
"239","Lutjanus fulvus","fusiform / normal","reef-associated",1,75,29.2,40,"commercial","high",0.5
"240","Lutjanus johnii","fusiform / normal","reef-associated",0,80,60.44,97,"commercial","high",0.5
"241","Lutjanus gibbus","fusiform / normal","reef-associated",1,150,35.26,50,"commercial","high",0.5
"242","Lutjanus griseus","fusiform / normal","reef-associated",5,180,39.82,89,"commercial","high",0.5
"243","Anchoa curta","elongated","pelagic-neritic",0,50,10.53,8.9,NA,"medium",0.5
"244","Anchoa eigenmannia","elongated","pelagic-neritic",0,50,10,8,"of potential interest","medium",0.5
"245","Galeichthys feliceps","fusiform / normal","demersal",NA,120,51.68,55,"commercial","medium",0.5625
"246","Anguilla japonica","eel-like","demersal",1,400,70.74,150,"highly commercial","unknown",0.5
"247","Anguilla rostrata","eel-like","demersal",0,464,83.42,152,"commercial","unknown",0.5
"248","Muraenesox cinereus","eel-like","demersal",NA,800,77.37,220,"highly commercial","very high",0.625
"249","Conger orbignianus","eel-like","demersal",10,NA,61.41,112,"minor commercial","low",0.5
"250","Conger oceanicus","eel-like","demersal",1,477,83.91,230,"minor commercial","low",0.5
"251","Conger conger","eel-like","demersal",0,1171,85.83,300,"commercial","medium",0.5
"252","Conger myriaster","eel-like","bathydemersal",320,830,58.46,100,"highly commercial","low",0.5
"253","Cololabis saira","elongated","pelagic-oceanic",0,230,32.37,40,"highly commercial","medium",0.7812
"254","Salilota australis","elongated","demersal",30,1000,61.04,50,"minor commercial","medium",1
"255","Gadus macrocephalus","fusiform / normal","demersal",10,1280,50.18,119,"highly commercial","low",0.625
"256","Urophycis chuss","elongated","demersal",35,1152,50.96,66,"commercial","low",0.5044
"257","Urophycis tenuis","fusiform / normal","demersal",100,1000,71.81,133,"highly commercial","low",0.5044
"258","Eleginus gracilis","fusiform / normal","demersal",0,300,52.62,55,"highly commercial","high",0.75
"259","Microgadus tomcod","elongated","demersal",0,69,34.54,38.1,"minor commercial","low",0.75
"260","Theragra chalcogramma","fusiform / normal","benthopelagic",NA,1280,36.56,91,"highly commercial","low",0.625
"261","Boreogadus saida","elongated","demersal",0,400,45.36,40,"highly commercial","high",1
"262","Micromesistius australis","elongated","benthopelagic",50,900,51.7,90,"highly commercial","medium",0.75
"263","Merluccius senegalensis","elongated","demersal",15,800,69.15,81,"highly commercial","high",0.5
"264","Merluccius australis","elongated","benthopelagic",28,1000,52.1,155,"highly commercial","medium",0.5
"265","Merluccius bilinearis","elongated","demersal",55,914,53.7,76,"highly commercial","low",0.5
"266","Merluccius hubbsi","elongated","benthopelagic",50,800,57.97,95,"highly commercial","medium",0.5
"267","Merluccius productus","elongated","pelagic-neritic",0,1000,59.9,91,"highly commercial","low",0.5
"268","Merluccius polli","elongated","bathydemersal",50,1000,34.63,80,"minor commercial","high",0.5
"269","Macruronus magellanicus","elongated","benthopelagic",30,500,70.5,115,"highly commercial","medium",0.5625
"270","Macrourus berglax","elongated","benthopelagic",100,1000,74.77,110,"commercial","medium",0.5312
"271","Coryphaenoides rupestris","elongated","bathypelagic",180,2600,66.51,110,"commercial","low",0.5
"272","Macroramphosus scolopax","short and / or deep","demersal",25,600,26.56,20,"commercial","unknown",0.7502
"273","Hoplostethus atlanticus","short and / or deep","bathypelagic",180,1809,72.86,75,"highly commercial","medium",0.5
"274","Zenopsis conchifer","short and / or deep","benthopelagic",50,600,61.31,80,"commercial","low",0.5781
"275","Menidia menidia","elongated","pelagic-neritic",0,3,13.34,15,"minor commercial","low",0.5039
